InvoiceId;Amount
;11
2;
test;33
3;test2
test3;test4
3;66
3;77
3;88
3;99
3;110
3;121
3;132
3;143
3;154
3;165
3;176
3;187
3;198
3;209
3;220
3;231
3;242
3;253
3;264
3;275
3;286
3;297
3;308
3;319
3;330
3;341
3;352
3;363
3;374
3;385
3;396
3;407
3;418
3;429
3;440
3;451
3;462
3;473
3;484
3;495
3;506
3;517
3;528
3;539
3;550
3;561
3;572
3;583
3;594
3;605
3;616
3;627
3;638
3;649
3;660
3;671
3;682
3;693
3;704
3;715
3;726
3;737
3;748
3;759
3;770
3;781
3;792
3;803
3;814
3;825
3;836
3;847
3;858
3;869
3;880
3;891
3;902
3;913
3;924
3;935
3;946
3;957
3;968
3;979
3;990
3;1001
3;1012
3;1023
3;1034
3;1045
3;1056
3;1067
3;1078
3;1089
3;1100
3;1111
3;1122
3;1133
3;1144
3;1155
3;1166
3;1177
3;1188
3;1199
3;1210
3;1221
3;1232
3;1243
3;1254
3;1265
3;1276
3;1287
3;1298
3;1309
3;1320
3;1331
3;1342
3;1353
3;1364
3;1375
3;1386
3;1397
3;1408
3;1419
3;1430
3;1441
3;1452
3;1463
3;1474
3;1485
3;1496
3;1507
3;1518
3;1529
3;1540
3;1551
3;1562
3;1573
3;1584
3;1595
3;1606
3;1617
3;1628
3;1639
3;1650
3;1661
3;1672
3;1683
3;1694
3;1705
3;1716
3;1727
3;1738
3;1749
3;1760
3;1771
3;1782
3;1793
3;1804
3;1815
3;1826
3;1837
3;1848
3;1859
3;1870
3;1881
3;1892
3;1903
3;1914
3;1925
3;1936
3;1947
3;1958
3;1969
3;1980
3;1991
3;2002
3;2013
3;2024
3;2035
3;2046
3;2057
3;2068
3;2079
3;2090
3;2101
3;2112
3;2123
3;2134
3;2145
3;2156
3;2167
3;2178
3;2189
3;2200
3;2211
3;2222
3;2233
3;2244
3;2255
3;2266
3;2277
3;2288
3;2299
3;2310
3;2321
3;2332
3;2343
3;2354
3;2365
3;2376
3;2387
3;2398
3;2409
3;2420
3;2431
3;2442
3;2453
3;2464
3;2475
3;2486
3;2497
3;2508
3;2519
3;2530
3;2541
3;2552
3;2563
3;2574
3;2585
3;2596
3;2607
3;2618
3;2629
3;2640
3;2651
3;2662
3;2673
3;2684
3;2695
3;2706
3;2717
3;2728
3;2739
3;2750
3;2761
3;2772
3;2783
3;2794
3;2805
3;2816
3;2827
3;2838
3;2849
3;2860
3;2871
3;2882
3;2893
3;2904
3;2915
3;2926
3;2937
3;2948
3;2959
3;2970
3;2981
3;2992
3;3003
3;3014
3;3025
3;3036
3;3047
3;3058
3;3069
3;3080
3;3091
3;3102
3;3113
3;3124
3;3135
3;3146
3;3157
3;3168
3;3179
3;3190
3;3201
3;3212
3;3223
3;3234
3;3245
3;3256
3;3267
3;3278
3;3289
3;3300
3;3311
3;3322
3;3333
3;3344
3;3355
3;3366
3;3377
3;3388
3;3399
3;3410
3;3421
3;3432
3;3443
3;3454
3;3465
3;3476
3;3487
3;3498
3;3509
3;3520
3;3531
3;3542
3;3553
3;3564
3;3575
3;3586
3;3597
3;3608
3;3619
3;3630
3;3641
3;3652
3;3663
3;3674
3;3685
3;3696
3;3707
3;3718
3;3729
3;3740
3;3751
3;3762
3;3773
3;3784
3;3795
3;3806
3;3817
3;3828
3;3839
3;3850
3;3861
3;3872
